"","Kendall.tau","value","variation","Plasticity","Noise_levels"
"146",0.75,0.75,"SD","0.05","High_noise"
"147",0.966666666666667,0.966666666666667,"SD","0.05","High_noise"
"148",-0.583333333333333,-0.583333333333333,"SD","0.05","High_noise"
"149",-0.816666666666667,-0.816666666666667,"SD","0.05","High_noise"
"150",0.6,0.6,"SD","0.05","High_noise"
"151",-0.166666666666667,-0.166666666666667,"SD","0.05","High_noise"
"152",-0.733333333333333,-0.733333333333333,"SD","0.05","High_noise"
"153",0.666666666666667,0.666666666666667,"SD","0.05","High_noise"
"154",0.433333333333333,0.433333333333333,"SD","0.05","High_noise"
"155",-0.1,-0.1,"SD","0.05","High_noise"
"156",0.0166666666666667,0.0166666666666667,"SD","0.05","High_noise"
"157",0.516666666666667,0.516666666666667,"SD","0.05","High_noise"
"158",-0.833333333333333,-0.833333333333333,"SD","0.05","High_noise"
"159",0.183333333333333,0.183333333333333,"SD","0.05","High_noise"
"160",0.716666666666667,0.716666666666667,"SD","0.05","High_noise"
"161",-0.533333333333333,-0.533333333333333,"SD","0.05","High_noise"
"162",0.35,0.35,"SD","0.05","High_noise"
"163",0.283333333333333,0.283333333333333,"SD","0.05","High_noise"
"164",0.516666666666667,0.516666666666667,"SD","0.05","High_noise"
"165",0.516666666666667,0.516666666666667,"SD","0.05","High_noise"
"166",0.333333333333333,0.333333333333333,"SD","0.05","High_noise"
"167",-0.383333333333333,-0.383333333333333,"SD","0.05","High_noise"
"168",-0.766666666666667,-0.766666666666667,"SD","0.05","High_noise"
"169",0.716666666666667,0.716666666666667,"SD","0.05","High_noise"
"170",0.183333333333333,0.183333333333333,"SD","0.05","High_noise"
"171",0.6,0.6,"SD","0.05","High_noise"
"172",0.216666666666667,0.216666666666667,"SD","0.05","High_noise"
"173",0.65,0.65,"SD","0.05","High_noise"
"174",-0.133333333333333,-0.133333333333333,"SD","0.05","High_noise"
"175",-0.433333333333333,-0.433333333333333,"SD","0.05","High_noise"
"176",0.2,0.2,"SD","0.05","High_noise"
"177",-0.433333333333333,-0.433333333333333,"SD","0.05","High_noise"
"178",-0.1,-0.1,"SD","0.05","High_noise"
"179",0.0666666666666667,0.0666666666666667,"SD","0.05","High_noise"
"180",0.116666666666667,0.116666666666667,"SD","0.05","High_noise"
"181",0.666666666666667,0.666666666666667,"SD","0.05","High_noise"
"182",-0.85,-0.85,"SD","0.05","High_noise"
"183",0.4,0.4,"SD","0.05","High_noise"
"184",-0.716666666666667,-0.716666666666667,"SD","0.05","High_noise"
"185",0.75,0.75,"SD","0.05","High_noise"
